id,title,creation_date,content,supervisor_id,scientific_validated,administr_validated,is_taken,program_id
1,Operator,1/11/2020,nascetur ridiculus mus etiam,2,false,false,false,2
2,Programmer Analyst I,8/6/2020,magnis dis parturient,1,false,false,false,5
3,Junior Executive,5/4/2020,metus aenean fermentum donec ut,3,false,false,false,4
4,Software Test Engineer IV,5/30/2020,id,1,false,false,false,5
5,Geological Engineer,3/15/2020,"",5,false,false,false,1
6,Payment Adjustment Coordinator,12/11/2019,ligula pellentesque ultrices phasellus id sapien in sapien iaculis,2,false,false,false,3
7,Media Manager I,1/16/2020,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,1,false,false,false,2
8,General Manager,3/9/2020,erat nulla tempus vivamus in felis,3,false,false,false,2
9,Senior Quality Engineer,3/19/2020,"",1,false,false,false,3
10,Information Systems Manager,5/1/2020,amet,2,false,false,false,2
11,Occupational Therapist,10/17/2020,tellus,2,false,false,false,4
12,Compensation Analyst,5/11/2020,purus eu magna vulputate luctus cum sociis natoque,1,false,false,false,2
13,Recruiting Manager,3/4/2020,nec nisi vulputate nonummy maecenas tincidunt lacus at velit,1,false,false,false,5
14,Programmer Analyst III,7/27/2020,nunc donec quis orci eget orci vehicula condimentum,1,false,false,false,1
15,Research Associate,1/24/2020,massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,2,false,false,false,4
16,Occupational Therapist,9/30/2020,tristique est et tempus semper est,3,false,false,false,4
17,Associate Professor,1/31/2020,turpis,1,false,false,false,2
18,Web Developer IV,6/26/2020,sed,1,false,false,false,5
19,Computer Systems Analyst IV,5/26/2020,aliquam convallis,4,false,false,false,5
20,Dental Hygienist,11/2/2020,ultrices mattis odio,2,false,false,false,3
21,VP Accounting,12/7/2019,suspendisse accumsan tortor quis turpis sed ante,2,false,false,false,4
22,Senior Developer,4/13/2020,nascetur ridiculus mus vivamus vestibulum sagittis,4,false,false,false,3
23,Nurse,4/22/2020,donec ut dolor morbi vel lectus in quam fringilla rhoncus,2,false,false,false,2
24,Senior Sales Associate,5/1/2020,sit amet eros suspendisse accumsan tortor quis turpis sed,3,false,false,false,4
25,Environmental Tech,8/23/2020,vel augue vestibulum ante ipsum primis in faucibus orci luctus,3,false,false,false,4
26,Staff Scientist,10/27/2020,integer a nibh in quis justo maecenas rhoncus aliquam,1,false,false,false,1
27,Quality Engineer,12/10/2019,et tempus semper est quam pharetra,3,false,false,false,5
28,Technical Writer,4/21/2020,in faucibus,1,false,false,false,5
29,Analyst Programmer,2/28/2020,vulputate ut ultrices,2,false,false,false,1
30,Accountant III,9/9/2020,"",2,false,false,false,4
31,Quality Control Specialist,9/22/2020,non,4,false,false,false,1
32,Internal Auditor,10/10/2020,"",1,false,false,false,5
33,Programmer II,12/4/2019,"",3,false,false,false,1
34,Analog Circuit Design manager,10/19/2020,mi pede malesuada,4,false,false,false,2
35,Data Coordiator,3/19/2020,"",1,false,false,false,2
